timestamp,ax,ay,az,gx,gy,gz,label
41727,0.283569,-0.040039,0.964478,85.632317,96.191399,-11.535644,infinity
41738,0.314087,-0.043701,0.957397,101.379387,97.167961,-12.023925,infinity
41750,0.342407,-0.054443,0.943848,143.859863,90.698235,-15.502929,infinity
41761,0.363281,-0.078735,0.92981,163.818344,84.716789,-19.226074,infinity
41773,0.372192,-0.118652,0.910034,177.001938,79.406738,-23.803709,infinity
41784,0.388428,-0.212402,0.865967,182.556137,75.378418,-28.442381,infinity
41795,0.390991,-0.25708,0.858643,181.518539,71.960449,-32.592773,infinity
41807,0.391846,-0.29895,0.853027,176.269516,68.786621,-36.010742,infinity
41818,0.389771,-0.33728,0.843506,169.433578,66.162109,-38.513184,infinity
41829,0.384399,-0.378662,0.835083,152.282715,66.955566,-40.588375,infinity
41841,0.390137,-0.409546,0.828369,143.127441,70.007324,-39.489746,infinity
41852,0.400024,-0.429199,0.817627,137.145996,72.265625,-36.865234,infinity
41863,0.415771,-0.438965,0.793945,136.413574,71.777344,-33.935547,infinity
41875,0.437988,-0.4552,0.750977,140.258789,68.17627,-32.836914,infinity
41886,0.439087,-0.483032,0.739624,144.897461,63.84277,-34.851074,infinity
41897,0.448242,-0.507812,0.720825,146.850586,60.302731,-39.550781,infinity
41909,0.462646,-0.531738,0.697998,145.324707,56.518551,-45.288082,infinity
41920,0.470825,-0.55127,0.674438,140.563965,43.823238,-53.955074,infinity
41931,0.467041,-0.563965,0.650391,141.784668,36.865234,-56.518551,infinity
41943,0.454712,-0.575439,0.634033,147.644043,31.98242,-58.593746,infinity
41954,0.44043,-0.594604,0.624634,156.005859,29.235838,-60.485836,infinity
41965,0.422363,-0.672607,0.584351,163.635239,27.587889,-62.19482,infinity
41977,0.417114,-0.706543,0.553345,166.870102,25.817869,-63.84277,infinity
41988,0.414062,-0.723022,0.533203,163.452133,23.559568,-65.429688,infinity
41999,0.41626,-0.725342,0.512817,155.700684,20.812986,-66.833496,infinity
42011,0.417236,-0.717529,0.485718,156.188965,16.052246,-71.533203,infinity
42022,0.399292,-0.717163,0.46582,167.419418,14.831542,-76.599121,infinity
42033,0.369385,-0.74585,0.44397,175.476059,14.953612,-82.519524,infinity
42045,0.361816,-0.802246,0.379272,178.344711,15.319823,-87.707512,infinity
42056,0.369751,-0.809204,0.342529,179.74852,14.404296,-90.576164,infinity
42068,0.364868,-0.80249,0.304443,182.861313,11.413573,-91.308586,infinity
42079,0.340088,-0.806152,0.271606,189.147934,6.16455,-92.834465,infinity
42090,0.304688,-0.826172,0.245483,197.448715,0.305176,-96.984856,infinity
42102,0.274658,-0.850098,0.218628,210.266098,-5.615234,-109.680168,infinity
42113,0.254395,-0.88147,0.188721,209.899887,-5.493164,-113.342278,infinity
42124,0.23584,-0.920898,0.152954,203.735336,-4.394531,-112.915031,infinity
42136,0.205444,-0.985596,0.09021,193.176254,-3.051758,-108.947746,infinity
42147,0.198975,-0.995972,0.063477,181.030258,-2.13623,-102.844231,infinity
42158,0.197754,-0.993896,0.034302,171.142563,-2.746582,-96.374504,infinity
